Order to Dispatch Status Report - TAPARIA IMPEX PVT LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Left,Image,Sales Order No,Design No,DivisionName,Party Name,Order Date,Design MRP,SO Qty,Lot Qty,Dispatch Qty,Dispatch%,SO Open?,Prod Active?,Order Value,Sale Value,Order Created By,Expected DDemoivery Date,# of Lots,# of Articles,PO Days Diff,Is FabricPORaised,Is TrimsPORaised,Fabric PO Days Diff,Trims PO Days Diff,Last Dispatch Date,Pending Qty,Ready Stock,Assorted Qty,Rejected Qty,Accesories,Accesories_Thread,Consumables,Knits -Fabric,Packing Material,Printing Chemical,Woven-Fabric,Consumption,Accesories,Accesories_Thread,Consumables,Knits -Fabric,Packing Material,Printing Chemical,Woven-Fabric,CUTTING_OutQty,CUTTING_InQty,CUTTING_OutDate,CUTTING_InDate,CUTTING_JWCost,CUTTING_JWName,Pending CUTTING,#Days CUTTING,PRINTING_OutQty,PRINTING_InQty,PRINTING_OutDate,PRINTING_InDate,PRINTING_JWCost,PRINTING_JWName,Pending PRINTING,#Days PRINTING,EMBRODIERY_OutQty,EMBRODIERY_InQty,EMBRODIERY_OutDate,EMBRODIERY_InDate,EMBRODIERY_JWCost,EMBRODIERY_JWName,Pending EMBRODIERY,#Days EMBRODIERY,STITCHING_OutQty,STITCHING_InQty,STITCHING_OutDate,STITCHING_InDate,STITCHING_JWCost,STITCHING_JWName,Pending STITCHING,#Days STITCHING,STITCH_TO_PACK_OutQty,STITCH_TO_PACK_InQty,STITCH_TO_PACK_OutDate,STITCH_TO_PACK_InDate,STITCH_TO_PACK_JWCost,STITCH_TO_PACK_JWName,Pending STITCH_TO_PACK,#Days STITCH_TO_PACK,WASHING_OutQty,WASHING_InQty,WASHING_OutDate,WASHING_InDate,WASHING_JWCost,WASHING_JWName,Pending WASHING,#Days WASHING,IRON_TO_FINISHING_OutQty,IRON_TO_FINISHING_InQty,IRON_TO_FINISHING_OutDate,IRON_TO_FINISHING_InDate,IRON_TO_FINISHING_JWCost,IRON_TO_FINISHING_JWName,Pending IRON_TO_FINISHING,#Days IRON_TO_FINISHING,PACKING_Finishing_OutQty,PACKING_Finishing_InQty,PACKING_Finishing_OutDate,PACKING_Finishing_InDate,PACKING_Finishing_JWCost,PACKING_Finishing_JWName,Pending PACKING_Finishing,#Days PACKING_Finishing,Fabric Days,Trims Days,Total Days,Ideal Days,IDemoe Days,RM Cost,JW Cost,Total Cost,Cost Per Pcs,Cost / CostSheet,GP,Cut To Ship
129,,00537/25-26,Demo-JB-SET-FS-0972-0425,Knits - Kids,Raju mega amrt,19/04/25,299.00,7602,5706,3800,50,Yes,True,1277136.00,638400.00,SUBHAJIT PATRA,14/08/26,3,2,0,Yes,Yes,0,0,03/10/25,3802,3800,0,0,86,,,,14,,,0.11,18716,,,543997.3,13212,,,11412.00,11712.00,28/06/2025,01/07/2025,11712.00,"KNITS CUTTING (BLOCK- 4, 1ST FLOOR)",0,3,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,11712.00,11731.00,02/07/2025,12/07/2025,194894.56,"BARSHA GARMENTS, RUKSANA ENTERPRISE",0,10,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,10882.00,10827.00,26/09/2025,27/09/2025,14075.10,"4TH FLOOR IRONING, VOLKAN SERVICES OPC PVT. LTD.",55,1,7640.00,7640.00,26/09/2025,03/10/2025,4584.00,JAMINUL MONDAL,0,7,66,90,97,21,76,575925.30,220234.60,796159.90,135.96,0.00,-157759.90,32.4
129,,00539/25-26,Demo-JB-SET-FS-0974-0425,Knits - Kids,Raju mega amrt,19/04/25,299.00,5217,6964,0,0,Yes,True,876456.00,,SUBHAJIT PATRA,14/08/26,3,2,0,Yes,Yes,0,0,,5217,0,0,0,125,,,,,,,0.104,12690,3840,,526763.4,,,,13928.00,12042.00,26/06/2025,03/07/2025,12042.00,"KNITS CUTTING (BLOCK- 4, 1ST FLOOR)",1886,7,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,12043.00,12030.00,03/07/2025,15/07/2025,114285.00,"TAPARIA  BLOCK 4, 2ND FLOOR,( ANIL ) , TAPARIA BLOCK 24 (L SUBRATA), TAPARIA BLOCK 4 4TH FLOOR (L FIROZ)",13,12,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,66,90,19,19,0,543293.40,126343.00,669636.40,111.20,0.00,-669636.40,0
54,,00536/25-26,PMART-MU-KN-TS-HS-SF-0052-0425,Knits - Men,HOME2,19/04/25,199.00,400,400,392,98,Yes,True,43600.00,48000.00,Saikat Kr Das,31/05/26,1,1,5,Yes,Yes,5,5,31/03/26,8,616,0,23,1331,,,,,,,0.242,785.72,,,53551.3,,,,640.00,640.00,23/08/2025,10/09/2025,640.00,CLUBTEX APPARDemoS,0,18,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,640.00,640.00,10/09/2025,12/11/2025,12864.00,CLUBTEX APPARDemoS,0,63,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,122,37,81,81,0,54337.02,16533.40,70870.42,110.74,0.00,-22870.42,61.2
54,,00535/25-26,PMART-MU-KN-TS-HS-SF-0051-0425,Knits - Men,HOME2,19/04/25,199.00,400,400,392,98,Yes,True,50000.00,48000.00,Saikat Kr Das,31/05/26,1,1,5,Yes,Yes,5,5,31/03/26,8,640,0,16,7931,,,,3847,,,0.236,3788.72,,,55118.5,8152,,,656.00,656.00,23/08/2025,10/09/2025,656.00,CLUBTEX APPARDemoS,0,18,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,656.00,656.00,10/09/2025,12/11/2025,13185.60,CLUBTEX APPARDemoS,0,63,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,122,37,81,81,0,67059.22,17024.00,84083.22,128.18,0.00,-36083.22,59.8
129,,00538/25-26,Demo-JB-SET-FS-0973-0425,Knits - Kids,Raju mega amrt,19/04/25,299.00,7602,7608,0,0,Yes,True,1277136.00,,SUBHAJIT PATRA,14/08/26,4,2,0,Yes,Yes,0,0,,7602,0,0,0,125,,,,,,,0.108,15992,17308,,682971.5,,,,15216.00,12198.00,25/06/2025,26/06/2025,12198.00,"KNITS CUTTING (BLOCK- 4, 1ST FLOOR)",3018,1,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,12198.00,12171.00,01/07/2025,11/07/2025,114103.13,"BLOCK 4 STICHING BAPI GAZI, TAPARIA BLOCK 24 (L SUBRATA), TAPARIA BLOCK 4 4TH FLOOR (L FIROZ)",27,10,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,66,90,16,11,5,716271.50,124083.00,840354.50,137.79,0.00,-840354.50,0
-194,,00558/25-26,EB-IN-WO-CA-SH-HS-RF-00613-0425,Woven,intrn lmtd,21/04/25,299.00,628,628,0,0,Yes,False,94200.00,,Saikat Kr Das,25/09/25,1,1,49,No,Yes,49,0,,628,0,0,0,3,,,,,,,0.443,1010,,,,7304.48,,31250,628.00,564.00,16/05/2025,17/05/2025,705.00,DILIP,64,1,564.00,549.00,30/04/2025,16/05/2025,549.00,LAXMI MACHINE MANORANJAN,15,16,-,-,-,-,-,-,0,0,564.00,567.00,19/05/2025,26/05/2025,18994.50,TIPL- LINE NO-7,0,7,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,541.00,541.00,06/06/2025,14/06/2025,2705.00,SHANKAR ENTERPRISE IN HOUSE,0,8,-,-,-,-,-,-,0,0,0,50,45,32,13,39564.48,22953.50,62517.98,110.85,0.00,-62517.98,0
54,,00635/25-26,PMART-MU-KN-TS-HS-SF-0055-0425,Knits - Men,HOME2,23/04/25,199.00,400,400,392,98,Yes,True,50000.00,48000.00,Saikat Kr Das,31/05/26,1,1,1,Yes,Yes,1,1,31/03/26,8,614,0,41,1327,,,,,,,0.233,781.64,,,53002.15,,,,656.00,656.00,23/08/2025,10/09/2025,656.00,CLUBTEX APPARDemoS,0,18,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,656.00,656.00,10/09/2025,12/11/2025,13185.60,CLUBTEX APPARDemoS,0,63,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,118,33,81,81,0,53783.79,16769.00,70552.79,107.55,0.00,-22552.79,59.8
54,,00634/25-26,PMART-MU-KN-TS-HS-SF-0054-0425,Knits - Men,HOME2,23/04/25,199.00,400,400,392,98,Yes,True,50000.00,48000.00,Saikat Kr Das,31/05/26,1,1,1,Yes,Yes,1,1,31/03/26,8,648,0,8,1327,,,,,,,0.234,781.64,,,54545.2,,,,656.00,656.00,23/08/2025,10/09/2025,656.00,CLUBTEX APPARDemoS,0,18,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,626.00,656.00,10/09/2025,12/11/2025,13185.60,CLUBTEX APPARDemoS,0,63,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,118,33,81,81,0,55326.84,17105.60,72432.44,110.42,0.00,-24432.44,59.8
54,,00633/25-26,PMART-MU-KN-TS-HS-SF-0053-0425,Knits - Men,HOME2,23/04/25,199.00,400,400,392,98,Yes,True,50000.00,48000.00,Saikat Kr Das,31/05/26,1,1,1,Yes,Yes,1,1,31/03/26,8,616,0,24,1331,,,,,,,0.241,785.72,,,53506.1,,,,640.00,640.00,23/08/2025,10/09/2025,640.00,CLUBTEX APPARDemoS,0,18,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,640.00,640.00,10/09/2025,12/11/2025,12864.00,CLUBTEX APPARDemoS,0,63,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,118,33,81,81,0,54291.82,16523.20,70815.02,110.65,0.00,-22815.02,61.2
84,,00805/25-26,Demo-JB-WO-CA-SH-FS-RF-00618-0425,Woven,Raju mega amrt,26/04/25,299.00,5500,5500,0,0,Yes,True,825000.00,,MD SAMIM SK,30/06/26,1,1,11,Yes,Yes,11,11,,5500,0,3,6,28,,,,,,,0.72,21943.2,5335,,,4879,,487572,5500.00,5504.00,08/07/2025,12/07/2025,8256.00,TIPL- LINE NO-4,0,4,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,5504.00,5504.00,12/07/2025,19/07/2025,217408.00,TIPL- LINE NO-4,0,7,-,-,-,-,-,-,0,0,5504.00,5504.00,20/07/2025,21/07/2025,33024.00,RAZA WASHING PROCESS,0,1,5493.00,5490.00,22/07/2025,28/07/2025,35685.00,SHANKAR ENTERPRISE IN HOUSE,3,6,-,-,-,-,-,-,0,0,68,83,20,18,2,519729.20,294373.00,814102.20,147.91,0.00,-814102.20,0
84,,00809/25-26,Demo-JB-WO-CA-SH-FS-RF-00620-0425,Woven,Raju mega amrt,26/04/25,299.00,5500,5500,0,0,Yes,True,825000.00,,MD SAMIM SK,30/06/26,1,1,11,Yes,Yes,11,11,,5500,0,9,22,28,,,,,,,0.697,31810,,,,4960,,508881.75,5500.00,5500.00,25/06/2025,04/07/2025,01/02/8250,TIPL- LINE NO-8,0,9,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,5500.00,5500.00,04/07/2025,28/07/2025,217250.00,"TAPARIA  BLOCK 4, 2ND FLOOR,( ANIL ) , TIPL- LINE NO-8",0,24,-,-,-,-,-,-,0,0,5500.00,5498.00,31/07/2025,01/08/2025,32988.00,SUBHAJIT WASH,2,1,5462.00,5462.00,02/08/2025,07/08/2025,35503.00,SHANKAR ENTERPRISE IN HOUSE,0,5,-,-,-,-,-,-,0,0,55,83,43,39,4,545651.75,293991.02,839642.77,145.88,0.00,-839642.77,0
-342,,01400/25-26,GG_LADIES T-SHIRT,Others,Rebin,28/04/25,199.00,5894,0,6632,112.5,Yes,True,760326.00,882466.00,RAKESH NAYAK,30/04/25,0,1,,No,No,,0,23/03/26,-738,0,0,0,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0.00,0.00,0.00,109.00,0.00,882466.00,0
268,,00944/25-26,Demo-MU-KN-PLO-TS-HS-0215-0425,Knits - Men,Hero123,30/04/25,249.00,602,600,407,67.6,Yes,True,87290.00,59015.00,Priya Das Chowdhury,31/12/26,1,1,8,Yes,No,8,8,27/08/25,195,407,0,9,2470,,,,,,,0.298,755.9,,,39012.5,,,,600.00,407.00,24/07/2025,03/09/2025,407.00,SUPRA  INDUSTRIES,193,41,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,407.00,407.00,03/09/2025,11/11/2025,11192.50,SUPRA  INDUSTRIES,0,69,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,85,0,110,110,0,39768.40,16462.00,56230.40,138.16,0.00,2784.60,100
129,,00943/25-26,Demo-JB-SET-HS-1116-0425,Knits - Kids,Raju mega amrt,30/04/25,299.00,6702,6702,0,0,Yes,True,1125936.00,,MALOTI RIKIASON,14/08/26,2,2,5,Yes,Yes,5,5,,6702,0,0,0,112,,,,,,,0.105,7574,16878,,854774.25,,,,14640.00,14682.00,04/07/2025,08/07/2025,14682.00,"KNITS CUTTING (BLOCK- 4, 1ST FLOOR)",0,4,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,14682.00,14653.00,09/07/2025,21/07/2025,135540.25,"TAPARIA BLOCK 24 (L SUBRATA), TAPARIA BLOCK 4 4TH FLOOR (L FIROZ)",29,12,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,64,76,17,16,1,879226.25,150544.00,1029770.25,140.28,0.00,-1029770.25,0
84,,01028/25-26,Demo-MU-KN-CA-TS-HS-SF-0202-0425,Knits - Men,HOME2,03/05/25,299.00,480,480,600,125,Yes,True,74400.00,77800.00,Saikat Kr Das,30/06/26,1,1,,No,No,,0,25/03/26,-120,600,0,89,,,,1,,,,0.002,,,,350,,,,628.00,628.00,22/07/2025,23/07/2025,628.00,STIFF AND STAY,0,1,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,628.00,628.00,23/07/2025,09/08/2025,92316.00,STIFF AND STAY,0,17,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,0,0,18,18,0,350.00,92944.00,93294.00,148.56,0.00,-15494.00,95.5
